id,age,race_raw,sex,juv_fel_count,juv_misd_count,juv_other_count,priors_count,charge_degree,two_year_recid,race
278,23,African-American,1,0,0,0,0,0,1,1
281,66,African-American,1,0,0,0,3,1,0,1
282,45,Caucasian,1,0,0,0,8,0,1,0
287,37,African-American,1,0,0,0,2,0,1,1
288,39,Caucasian,1,0,0,0,0,1,1,0
289,26,African-American,1,0,0,0,9,1,1,1
291,45,Caucasian,1,0,0,0,2,1,0,0
293,23,African-American,1,0,0,0,0,1,1,1
294,34,African-American,1,0,0,0,2,0,0,1
297,23,African-American,0,0,0,0,1,0,0,1
299,50,Caucasian,1,0,0,0,1,1,0,0
300,37,Caucasian,0,0,0,0,0,0,0,0
301,44,Caucasian,1,0,0,0,4,0,0,0
302,35,African-American,0,0,1,0,23,1,1,1
306,26,African-American,1,0,0,0,2,1,1,1
308,27,African-American,1,0,0,0,0,0,0,1
310,28,African-American,0,0,0,0,0,1,0,1
313,28,Caucasian,0,0,0,0,7,1,1,0
315,38,African-American,1,0,0,0,2,1,0,1
317,28,African-American,0,0,0,0,1,1,0,1
319,56,Caucasian,1,0,0,0,7,1,1,0
320,38,African-American,1,0,0,0,15,1,0,1
321,28,African-American,1,0,0,0,2,0,0,1
326,51,Caucasian,0,0,0,0,0,0,1,0
327,51,Caucasian,1,0,0,0,0,0,0,0
330,48,African-American,1,0,0,0,0,1,0,1
331,37,Caucasian,1,0,0,0,4,1,1,0
332,30,African-American,0,0,0,0,2,1,0,1
333,41,African-American,0,0,0,0,5,0,0,1
334,27,African-American,1,0,0,0,11,1,1,1
335,37,African-American,1,0,0,0,0,0,0,1
337,54,African-American,1,0,0,0,11,1,0,1
338,23,African-American,1,0,0,0,2,1,0,1
344,41,African-American,1,0,0,0,0,0,0,1
345,52,Caucasian,1,0,0,0,0,1,0,0
347,43,Caucasian,1,0,0,0,13,1,1,0
348,52,African-American,1,0,0,0,0,1,0,1
349,28,Caucasian,1,0,0,0,1,1,0,0
350,30,African-American,1,0,0,2,11,0,1,1
351,28,Caucasian,1,0,0,0,1,1,0,0
354,22,African-American,1,0,0,0,0,1,0,1
355,30,African-American,1,0,0,0,4,1,0,1
357,31,Caucasian,1,0,0,0,0,1,1,0
358,37,Caucasian,1,0,0,0,0,1,1,0
359,32,African-American,1,0,1,0,14,1,0,1
361,53,Caucasian,1,0,0,0,1,0,0,0
362,28,African-American,1,0,0,0,25,1,1,1
363,44,Caucasian,1,0,0,0,8,0,1,0
364,25,African-American,1,0,0,0,0,1,0,1
366,22,Caucasian,1,0,0,1,1,0,1,0
382,23,Caucasian,0,0,0,4,5,1,1,0
384,29,African-American,1,0,0,0,1,0,0,1
385,20,African-American,1,0,0,0,1,1,1,1
386,30,African-American,1,0,0,0,2,1,1,1
390,27,African-American,1,0,0,0,4,1,0,1
393,37,African-American,0,0,0,0,2,1,0,1
396,20,African-American,1,0,0,0,0,1,0,1
399,52,African-American,0,0,0,0,0,1,0,1
400,23,African-American,0,0,0,0,0,1,1,1
402,48,African-American,0,0,0,0,0,1,0,1
404,25,Caucasian,1,0,0,0,0,1,0,0
405,27,Caucasian,1,0,0,0,0,1,1,0
406,30,African-American,1,0,0,0,11,1,1,1
407,22,African-American,1,0,1,1,3,0,1,1
408,22,Caucasian,0,0,0,0,1,1,0,0
411,41,African-American,0,0,0,0,2,0,0,1
416,52,African-American,1,0,0,0,3,1,1,1
417,43,African-American,1,0,0,0,0,1,0,1
423,37,Caucasian,1,0,0,0,3,1,0,0
425,70,Caucasian,1,0,0,0,1,0,0,0
428,46,Caucasian,1,0,0,0,3,1,0,0
429,21,African-American,1,0,0,0,0,0,1,1
430,26,African-American,1,0,0,0,1,0,1,1
432,34,Caucasian,1,0,0,0,5,0,0,0
435,34,African-American,1,0,0,0,5,0,0,1
437,23,Caucasian,1,0,0,0,0,1,1,0
438,34,African-American,1,0,0,0,5,1,1,1
440,39,African-American,1,0,0,0,6,1,1,1
445,58,Caucasian,1,0,0,0,2,1,0,0
446,21,African-American,0,0,0,0,0,0,0,1
451,23,African-American,1,0,0,1,4,0,1,1
452,62,Caucasian,1,0,0,0,0,1,0,0
456,37,Caucasian,1,0,0,0,5,1,0,0
459,32,African-American,0,0,0,0,5,1,0,1
462,27,African-American,1,0,0,0,0,0,0,1
463,44,Caucasian,1,0,0,0,0,0,1,0
464,28,Caucasian,1,0,0,0,3,0,1,0
465,42,Caucasian,0,0,0,0,0,1,0,0
468,27,African-American,1,0,0,0,0,1,0,1
469,20,African-American,1,0,0,0,0,1,1,1
474,51,Caucasian,0,0,0,0,0,0,0,0
475,56,Caucasian,1,0,0,0,0,0,0,0
478,29,African-American,1,0,0,0,7,1,0,1
480,20,African-American,1,0,0,0,0,1,1,1
484,27,Caucasian,1,0,0,0,8,1,0,0
485,24,African-American,1,0,1,0,2,1,1,1
487,53,Caucasian,1,0,0,0,36,1,1,0
489,28,Caucasian,1,0,0,0,2,0,1,0
495,36,African-American,0,0,0,0,0,1,0,1
496,25,Caucasian,0,0,0,0,2,0,1,0
499,28,Caucasian,1,0,0,0,1,1,0,0
500,21,African-American,0,0,0,0,0,1,1,1
501,36,Caucasian,1,0,0,0,0,0,0,0
502,24,African-American,1,0,0,0,0,1,0,1
505,29,African-American,1,0,0,0,0,1,0,1
509,30,Caucasian,0,0,0,0,0,0,0,0
516,32,African-American,1,0,1,0,12,1,1,1
517,23,African-American,1,0,0,1,1,1,0,1
518,47,African-American,1,0,0,0,3,1,0,1
522,37,Caucasian,1,0,0,0,0,1,0,0
523,19,African-American,1,0,2,0,2,1,1,1
526,21,Caucasian,0,0,0,2,0,1,0,0
527,69,Caucasian,1,0,0,0,0,0,0,0
530,21,Caucasian,1,0,0,0,2,1,0,0
531,26,African-American,1,0,0,1,6,0,1,1
532,22,Caucasian,1,0,0,0,0,1,0,0
533,23,African-American,0,0,0,0,0,1,1,1
537,49,African-American,1,0,0,0,3,1,0,1
538,29,African-American,1,0,0,1,2,0,0,1
540,60,Caucasian,0,0,0,0,0,0,0,0
542,23,African-American,1,2,0,0,3,1,1,1
547,30,Caucasian,1,0,0,0,0,1,0,0
548,21,African-American,1,0,1,0,1,1,0,1
552,22,Caucasian,1,0,0,0,2,0,1,0
557,21,African-American,1,0,0,0,4,1,1,1
558,21,African-American,1,0,0,0,0,1,1,1
561,34,Caucasian,1,0,0,0,1,0,0,0
563,50,Caucasian,0,0,0,0,1,0,1,0
565,40,Caucasian,1,0,0,0,0,1,1,0
566,25,African-American,1,0,0,0,7,1,1,1
567,53,Caucasian,0,0,0,0,1,0,0,0
569,24,African-American,0,0,0,0,0,1,0,1
572,42,African-American,1,0,0,0,1,1,0,1
573,28,African-American,1,0,0,0,1,0,0,1
576,26,African-American,1,1,1,0,6,1,1,1
579,22,African-American,1,0,0,0,4,1,1,1
580,21,Caucasian,1,0,0,0,3,0,0,0
581,37,African-American,1,0,0,0,23,1,1,1
584,35,African-American,1,0,0,0,2,1,0,1
586,53,African-American,1,0,0,0,2,1,0,1
588,29,African-American,1,0,0,0,7,1,0,1
590,48,Caucasian,1,1,0,0,23,1,1,0
594,52,Caucasian,0,0,0,0,0,0,0,0
597,27,African-American,1,0,0,0,12,1,1,1
598,28,African-American,1,0,0,0,5,1,0,1
599,33,Caucasian,1,0,0,0,3,0,0,0
602,36,African-American,1,0,0,0,14,1,1,1
603,29,African-American,1,1,0,0,2,1,0,1
604,22,African-American,1,0,0,1,0,0,1,1
608,25,Caucasian,1,0,0,0,0,1,0,0
611,56,African-American,1,0,0,0,5,1,0,1
612,27,African-American,1,0,0,0,9,1,1,1
613,52,Caucasian,1,0,0,0,4,1,1,0
616,32,African-American,1,0,0,0,3,1,0,1
622,39,Caucasian,0,0,0,0,0,0,0,0
623,56,Caucasian,1,0,0,0,0,0,0,0
624,22,African-American,0,0,0,0,0,1,0,1
627,53,African-American,1,0,0,0,11,1,0,1
628,25,Caucasian,1,0,0,0,0,0,1,0
630,22,Caucasian,1,0,0,0,0,1,0,0
633,58,Caucasian,0,0,0,0,2,0,0,0
635,31,African-American,1,0,0,0,7,0,1,1
637,22,Caucasian,1,0,0,0,1,1,1,0
638,28,African-American,1,0,0,0,8,1,1,1
640,20,African-American,1,0,0,0,0,1,1,1
641,29,Caucasian,1,0,0,0,0,0,1,0
644,58,African-American,1,0,0,0,21,0,1,1
645,22,African-American,1,0,0,0,3,1,0,1
647,37,Caucasian,1,0,0,0,0,1,0,0
648,57,African-American,1,0,0,0,1,1,1,1
649,27,Caucasian,1,0,0,0,3,0,0,0
651,26,African-American,1,0,0,0,3,1,0,1
653,24,Caucasian,1,0,1,1,3,1,1,0
654,33,Caucasian,1,0,0,0,0,1,0,0
656,29,African-American,1,0,0,0,2,1,0,1
657,24,African-American,0,0,0,0,3,1,1,1
659,19,Caucasian,1,0,0,1,1,1,1,0
660,36,Caucasian,1,0,0,0,2,0,0,0
662,24,Caucasian,0,0,0,0,0,1,0,0
664,34,Caucasian,1,0,0,0,0,0,0,0
669,20,African-American,1,1,0,1,1,1,1,1
674,24,African-American,1,0,0,0,1,0,1,1
675,61,Caucasian,1,0,0,0,4,1,0,0
678,50,African-American,0,0,0,0,3,1,0,1
679,30,African-American,1,0,0,0,1,0,0,1
680,38,African-American,1,0,0,0,5,1,0,1
681,24,Caucasian,1,0,0,0,0,0,0,0
685,46,African-American,0,0,0,0,2,1,1,1
686,41,Caucasian,1,0,0,0,0,0,1,0
688,27,African-American,1,0,0,0,13,0,1,1
691,26,African-American,1,0,0,0,1,0,1,1
692,29,African-American,1,0,0,0,3,1,1,1
693,52,Caucasian,1,0,0,0,6,1,1,0
694,28,Caucasian,1,0,0,0,1,1,1,0
697,55,African-American,1,0,0,0,5,1,1,1
700,26,African-American,1,1,1,0,10,1,1,1
701,28,African-American,1,0,0,0,5,1,0,1
703,63,Caucasian,1,0,0,0,2,1,0,0
704,42,African-American,1,0,0,0,0,1,0,1
707,23,African-American,1,1,2,2,6,1,0,1
708,54,African-American,1,0,0,0,28,1,1,1
709,35,African-American,1,0,0,1,8,1,1,1
711,24,African-American,0,1,0,0,6,1,1,1
712,54,African-American,1,0,0,0,2,0,0,1
713,58,African-American,1,0,0,0,12,0,1,1
715,23,Caucasian,1,0,0,1,1,0,1,0
716,35,African-American,1,0,0,0,1,0,0,1
718,20,African-American,1,0,0,0,1,1,1,1
720,51,Caucasian,1,0,0,0,0,1,0,0
722,37,Caucasian,1,0,0,0,3,1,0,0
724,47,Caucasian,1,0,0,0,3,1,0,0
726,34,Caucasian,1,0,0,0,4,1,1,0
727,56,Caucasian,1,0,0,0,0,1,0,0
729,59,Caucasian,1,0,0,0,1,1,1,0
737,24,Caucasian,0,0,0,1,6,1,1,0
738,21,Caucasian,1,0,0,4,2,0,1,0
743,26,African-American,1,0,0,0,1,1,0,1
745,30,Caucasian,0,0,0,0,0,0,0,0
752,29,Caucasian,1,0,0,0,0,0,1,0
753,54,African-American,1,0,0,0,0,0,0,1
754,29,African-American,1,0,0,0,4,1,1,1
756,59,Caucasian,0,0,0,0,0,0,0,0
757,38,African-American,1,0,0,0,0,1,0,1
762,27,Caucasian,1,0,0,0,1,0,1,0
765,66,African-American,1,0,0,0,33,1,1,1
769,27,Caucasian,1,0,0,0,2,1,0,0
770,51,Caucasian,1,0,0,0,1,0,0,0
771,35,Caucasian,1,0,0,0,1,1,0,0
775,52,Caucasian,1,0,0,0,4,0,0,0
785,26,African-American,0,0,0,0,0,0,0,1
786,48,Caucasian,0,0,0,0,0,0,0,0
789,33,African-American,1,0,0,0,2,0,0,1
790,34,African-American,0,0,0,0,6,1,0,1
793,59,African-American,1,0,0,0,10,1,1,1
794,29,African-American,1,0,0,0,5,1,1,1
796,24,Caucasian,1,0,0,0,0,1,0,0
798,48,Caucasian,1,0,0,0,1,1,1,0
803,52,African-American,1,0,0,0,4,0,0,1
804,20,African-American,1,0,0,0,0,1,1,1
805,25,Caucasian,1,0,0,0,4,1,1,0
806,24,Caucasian,1,0,0,0,0,1,0,0
807,23,Caucasian,1,0,0,0,0,0,0,0
808,27,Caucasian,1,0,1,3,6,1,0,0
810,25,African-American,1,0,1,0,1,0,1,1
812,31,African-American,1,0,0,0,0,1,0,1
813,25,African-American,1,0,1,0,6,1,1,1
814,32,Caucasian,1,0,0,0,1,1,1,0
815,21,Caucasian,1,0,0,0,0,1,1,0
818,25,Caucasian,1,0,0,0,0,1,0,0
821,35,African-American,1,0,0,0,0,1,0,1
823,42,African-American,1,0,0,0,14,1,1,1
825,24,Caucasian,1,0,0,1,9,0,1,0
831,47,Caucasian,1,0,0,0,1,0,0,0
835,27,African-American,1,0,0,0,5,1,1,1
837,46,Caucasian,1,0,0,0,2,1,1,0
838,44,African-American,1,0,0,0,1,0,0,1
841,23,Caucasian,1,0,0,0,2,1,0,0
843,42,African-American,1,0,0,0,8,1,0,1
844,58,African-American,1,0,0,0,6,1,0,1
847,26,African-American,1,0,0,1,3,1,0,1
849,39,African-American,1,0,0,0,3,1,1,1
850,21,African-American,1,0,2,0,3,1,1,1
851,63,Caucasian,1,0,0,0,1,0,0,0
852,22,African-American,1,0,1,0,3,1,1,1
853,50,African-American,1,0,0,0,3,0,0,1
855,38,African-American,1,0,0,0,0,1,0,1
856,41,Caucasian,1,0,0,0,1,1,0,0
857,28,African-American,1,8,0,1,16,1,1,1
858,30,African-American,0,0,0,0,0,0,0,1
859,23,African-American,1,0,0,0,1,1,0,1
861,25,Caucasian,1,0,0,0,2,1,1,0
863,40,Caucasian,1,0,0,0,5,1,0,0
867,27,African-American,1,0,0,0,5,0,1,1
869,44,Caucasian,1,0,0,0,11,0,0,0
870,35,African-American,0,0,0,0,6,1,1,1
871,42,Caucasian,1,0,0,0,0,0,0,0
872,38,African-American,1,0,0,0,15,1,0,1
875,25,African-American,0,0,0,0,0,0,0,1
881,49,Caucasian,0,0,0,0,2,0,1,0
882,50,Caucasian,1,0,0,0,5,1,1,0
884,66,Caucasian,1,0,0,0,0,0,1,0
886,46,Caucasian,0,0,0,0,0,0,0,0
887,30,African-American,1,0,0,1,5,1,1,1
888,22,Caucasian,0,0,0,0,0,0,0,0
889,23,Caucasian,1,0,0,0,1,0,0,0
899,25,African-American,1,0,0,0,0,0,0,1
900,21,Caucasian,0,0,0,0,0,1,0,0
901,27,African-American,1,0,0,0,0,0,0,1
906,24,Caucasian,0,0,0,1,0,1,0,0
909,20,African-American,1,1,0,0,1,1,0,1
913,31,African-American,1,0,0,0,3,0,1,1
914,27,African-American,1,0,0,0,3,0,1,1
916,40,African-American,1,0,0,0,0,1,0,1
917,22,African-American,1,0,0,0,11,1,1,1
918,38,African-American,0,0,0,0,1,1,0,1
921,30,African-American,1,0,0,0,1,0,0,1
922,27,Caucasian,1,0,0,0,6,1,1,0
924,59,Caucasian,0,0,0,0,0,0,0,0
925,37,Caucasian,1,0,0,0,2,0,0,0
926,28,African-American,1,0,0,0,5,0,1,1
927,38,Caucasian,1,0,0,0,0,1,0,0
930,22,African-American,1,0,0,1,0,1,1,1
934,25,African-American,1,0,0,0,4,1,1,1
935,51,Caucasian,1,0,0,0,0,0,0,0
943,29,Caucasian,1,0,0,0,2,0,1,0
944,28,African-American,1,0,0,0,10,1,0,1
946,55,African-American,1,0,0,0,9,0,1,1
947,23,Caucasian,0,0,0,0,3,1,0,0
948,22,African-American,0,0,0,0,0,0,0,1
949,19,Caucasian,0,0,0,0,2,1,1,0
951,31,African-American,1,0,0,0,1,0,0,1
953,29,African-American,1,0,0,0,0,0,0,1
955,61,African-American,1,0,0,0,15,1,1,1
959,20,African-American,1,0,1,1,4,1,1,1
960,26,Caucasian,1,0,0,0,3,1,1,0
962,27,Caucasian,1,0,0,0,5,0,0,0
963,25,Caucasian,1,0,0,0,1,1,0,0
964,23,Caucasian,1,0,2,0,3,1,1,0
965,38,African-American,1,0,0,0,0,1,0,1
967,27,African-American,1,0,2,1,18,1,1,1
968,35,Caucasian,0,0,0,0,0,1,1,0
971,58,African-American,0,0,0,0,4,1,1,1
973,57,Caucasian,0,0,0,0,0,0,1,0
975,21,African-American,1,0,0,1,0,1,0,1
977,22,African-American,0,0,0,0,0,1,0,1
978,30,African-American,1,0,0,0,0,1,0,1
987,30,African-American,1,0,0,0,8,1,1,1
988,31,African-American,0,0,0,0,10,1,0,1
990,45,Caucasian,0,0,0,0,1,1,0,0
993,39,Caucasian,1,0,0,0,2,1,1,0
995,31,African-American,1,0,0,0,0,1,1,1
996,22,African-American,1,0,0,0,1,1,1,1
998,27,African-American,1,0,0,0,13,1,1,1
999,38,Caucasian,1,0,0,0,1,1,1,0
1000,31,African-American,1,0,0,0,23,1,1,1
1001,47,African-American,1,0,0,0,20,1,0,1
1002,22,African-American,1,0,1,0,3,1,0,1
1003,35,African-American,1,0,0,1,1,0,1,1
1005,65,African-American,1,0,0,0,2,0,1,1
1006,35,African-American,1,0,0,0,0,0,0,1
1007,33,African-American,0,0,0,0,0,1,0,1
1008,53,Caucasian,1,0,0,0,1,0,0,0
1014,21,African-American,1,0,0,0,0,1,0,1
1015,37,African-American,1,0,0,0,11,1,0,1
1022,31,African-American,0,0,0,0,0,0,0,1
1023,59,Caucasian,0,0,0,0,2,1,0,0
1024,27,African-American,1,0,0,0,0,0,0,1
1025,36,African-American,1,0,0,0,0,0,1,1
1026,46,African-American,1,0,0,0,17,1,1,1
1027,22,African-American,1,0,0,1,3,1,0,1
1030,28,Caucasian,0,0,0,0,0,0,0,0
1031,34,Caucasian,0,0,0,1,15,1,1,0
1034,23,African-American,1,0,0,1,2,0,1,1
1036,27,African-American,1,0,0,0,3,1,0,1
1038,48,Caucasian,1,0,0,0,3,1,1,0
1043,31,African-American,1,0,0,0,5,1,0,1
1044,36,African-American,1,0,1,0,4,0,0,1
1048,44,African-American,1,0,0,0,14,1,1,1
1049,53,Caucasian,1,0,0,0,2,1,0,0
1051,33,African-American,1,0,0,0,3,0,1,1
1056,47,Caucasian,1,0,0,0,2,1,1,0
1057,57,African-American,1,0,0,0,20,1,1,1
1058,28,African-American,1,0,0,0,2,0,0,1
1059,24,African-American,1,0,0,0,1,0,0,1
1060,44,African-American,1,0,0,0,1,1,0,1
1061,46,African-American,1,0,0,0,0,1,0,1
1062,37,African-American,1,0,0,0,6,1,0,1
1063,26,African-American,1,0,0,0,10,0,1,1
1065,27,African-American,1,0,1,0,10,1,1,1
1066,40,Caucasian,1,0,0,0,1,1,0,0
1068,60,Caucasian,0,0,0,0,9,1,1,0
1069,53,Caucasian,1,0,0,0,1,1,0,0
1072,28,African-American,1,0,0,0,0,1,0,1
1076,46,Caucasian,0,0,0,0,2,1,0,0
1077,23,African-American,1,0,0,0,0,1,1,1
1082,50,African-American,1,0,0,0,18,1,1,1
1084,45,African-American,1,0,0,0,0,0,0,1
1086,22,African-American,1,0,0,0,1,1,0,1
1087,26,Caucasian,1,0,0,0,1,1,1,0
1088,62,Caucasian,1,0,0,0,0,1,0,0
1089,34,Caucasian,1,0,0,0,0,0,1,0
1093,21,Caucasian,1,0,0,0,0,0,0,0
1094,25,Caucasian,1,0,0,0,0,1,1,0
1096,68,Caucasian,1,0,0,0,0,0,0,0
1099,21,Caucasian,1,0,0,0,1,1,0,0
1103,22,African-American,1,0,0,0,0,1,0,1
1106,42,Caucasian,1,0,0,0,1,1,0,0
1107,22,Caucasian,1,0,1,1,1,1,1,0
1109,45,African-American,1,0,0,0,0,1,1,1
1110,36,African-American,0,0,0,0,4,1,1,1
1111,48,African-American,1,0,0,0,2,1,0,1
1119,23,African-American,1,0,0,1,6,1,1,1
1120,24,African-American,1,0,0,0,0,1,0,1
1121,29,African-American,1,0,0,0,0,1,0,1
1122,24,African-American,1,0,0,0,0,1,0,1
1123,50,African-American,1,0,0,0,11,1,0,1
1125,34,African-American,1,0,1,0,10,1,1,1
1127,23,African-American,1,0,0,0,0,1,0,1
1128,22,Caucasian,0,0,0,0,0,0,0,0
1130,30,Caucasian,1,0,0,0,22,1,1,0
1131,21,African-American,1,0,0,0,0,1,1,1
1132,53,Caucasian,0,0,0,0,0,1,0,0
1136,25,African-American,1,0,1,1,7,0,1,1
1138,25,African-American,0,0,0,0,1,0,0,1
1140,71,African-American,1,0,0,0,8,1,0,1
1141,39,African-American,1,0,4,0,10,0,0,1
1142,37,African-American,0,0,0,0,0,1,0,1
1143,20,African-American,1,0,0,2,0,1,1,1
1144,29,African-American,0,0,0,0,3,1,0,1
1145,22,African-American,1,0,0,0,2,1,1,1
1146,26,African-American,1,0,0,0,4,1,1,1
1150,47,African-American,0,0,0,0,19,1,1,1
1153,20,Caucasian,0,0,0,0,1,1,1,0
1156,23,African-American,0,0,0,0,0,1,0,1
1159,53,African-American,0,0,0,0,0,1,0,1
1160,23,African-American,0,0,0,0,0,1,0,1
1162,26,African-American,1,0,0,1,5,1,1,1
1163,25,African-American,1,0,0,0,6,1,0,1
1166,27,African-American,1,0,0,0,4,1,1,1
1169,29,African-American,1,0,0,0,1,0,0,1
1172,31,African-American,1,0,0,0,0,0,0,1
1173,41,African-American,1,0,0,0,8,1,1,1
1176,25,Caucasian,1,0,0,0,0,0,0,0
1177,47,Caucasian,1,0,0,0,0,0,0,0
1179,37,African-American,1,0,0,0,4,1,0,1
1181,35,African-American,0,0,0,0,4,1,0,1
